Gene Accession Number,Gene Definition,Sample Source,Gene Organism,Isolation Source,Collection Date,Collection Country,Taxon ID,BioProject,BioSample,Assembly,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16,Reference_17,Reference_18,Reference_19,Reference_20,Reference_21,Reference_22,Reference_23,Reference_24,Reference_25,Reference_26,Reference_27,Reference_28,Reference_29,Reference_30,Reference_31,new_collection_date
NZ_CP010149.1,"Escherichia coli strain D6 plasmid A, complete sequence",Escherichia coli,Escherichia coli,,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252424,Assembly:GCF_001900695.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010164.1,"Escherichia coli strain H2 plasmid A, complete sequence",Escherichia coli,Escherichia coli,river water,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252430,Assembly:GCF_001900795.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010164.1,"Escherichia coli strain H2 plasmid A, complete sequence",Escherichia coli,Escherichia coli,river water,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252430,Assembly:GCF_001900795.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010168.1,"Escherichia coli strain H3 plasmid A, complete sequence",Escherichia coli,Escherichia coli,river water,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252431,Assembly:GCF_001900815.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010174.1,"Escherichia coli strain H8 plasmid B, complete sequence",Escherichia coli,Escherichia coli,river water,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252435,Assembly:GCF_001900835.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010232.1,"Escherichia coli strain S30 plasmid A, complete sequence",Escherichia coli,Escherichia coli,forest soil,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252453,Assembly:GCF_001901365.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP010243.1,"Escherichia coli strain S56 plasmid A, complete sequence",Escherichia coli,Escherichia coli,forest soil,2014,,taxon:562,BioProject:PRJNA224116,BioSample:SAMN03252458,Assembly:GCF_001901445.1,Vertical and Horizontal Evolutionary Story implied from E. coli complete genomes,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00
NZ_CP018725.1,"Xanthomonas vesicatoria ATCC 35937 strain LMG911 chromosome, complete genome",Xanthomonas vesicatoria ATCC 35937,Xanthomonas vesicatoria ATCC 35937,,1955,New Zealand,taxon:925775,BioProject:PRJNA224116,BioSample:SAMN05823154,Assembly:GCF_001908725.1,"Complete genome sequences of four Solanaceae pathogen copper-resistant Xanthomonas: X. gardneri, X. euvesicatoria, X. vesicatoria and X. perforans",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955-01-01 00:00:00
NZ_CP016295.1,"Acinetobacter baumannii strain CMC-CR-MDR-Ab4 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,BAL,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096368,Assembly:GCF_001922205.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016295.1,"Acinetobacter baumannii strain CMC-CR-MDR-Ab4 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,BAL,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096368,Assembly:GCF_001922205.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016298.1,"Acinetobacter baumannii strain CMC-MDR-Ab59 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,Sputum,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096369,Assembly:GCF_001922225.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016298.1,"Acinetobacter baumannii strain CMC-MDR-Ab59 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,Sputum,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096369,Assembly:GCF_001922225.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016300.1,"Acinetobacter baumannii strain CMC-CR-MDR-Ab66 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,TA,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096370,Assembly:GCF_001922245.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016300.1,"Acinetobacter baumannii strain CMC-CR-MDR-Ab66 chromosome, complete genome",Acinetobacter baumannii,Acinetobacter baumannii,TA,,USA:VA,taxon:470,BioProject:PRJNA224116,BioSample:SAMN04096370,Assembly:GCF_001922245.1,Tn2008-driven carbapenem resistance in Acinetobacter baumannii isolates from a period of increased incidence of infections in a Southwest Virginia hospital (USA),Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018839.1,"Thauera chlorobenzoica strain 3CB1 chromosome, complete genome",Thauera chlorobenzoica,Thauera chlorobenzoica,"3-chlorobenzoate-degrading denitrifying enrichment culture inoculated with sediment from the Hudson River near Albany, NY, USA",,USA,taxon:96773,BioProject:PRJNA224116,BioSample:SAMN06117593,Assembly:GCF_001922305.1,"Complete genome sequence of Thauera chlorobenzoica, a Betaproteobacterium degrading haloaromatics anaerobically to CO2 and halides",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018839.1,"Thauera chlorobenzoica strain 3CB1 chromosome, complete genome",Thauera chlorobenzoica,Thauera chlorobenzoica,"3-chlorobenzoate-degrading denitrifying enrichment culture inoculated with sediment from the Hudson River near Albany, NY, USA",,USA,taxon:96773,BioProject:PRJNA224116,BioSample:SAMN06117593,Assembly:GCF_001922305.1,"Complete genome sequence of Thauera chlorobenzoica, a Betaproteobacterium degrading haloaromatics anaerobically to CO2 and halides",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018815.1,"Enterobacter cloacae complex sp. AR_0002 plasmid tig00000003, complete sequence",Enterobacter cloacae complex sp. AR_0002,Enterobacter cloacae complex sp. AR_0002,,,,taxon:2798729,BioProject:PRJNA224116,BioSample:SAMN04014843,Assembly:GCF_001922365.1,Whole genome sequencing of Enterobacter cloacae AR_0002,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018817.1,"Klebsiella pneumoniae strain AR_0049 plasmid unitig_1, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04014890,Assembly:GCF_001922465.1,Whole genome sequencing of Klebsiella pneumoniae AR_0049,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP018819.1,"Klebsiella pneumoniae strain AR_0049 plasmid unitig_3, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04014890,Assembly:GCF_001922465.1,Whole genome sequencing of Klebsiella pneumoniae AR_0049,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP033201.1,"Xanthomonas oryzae pv. oryzae strain BXO1 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,1992,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252489,Assembly:GCF_001927405.2,Population genomic insights into variation and evolution of Xanthomonas oryzae pv. oryzae,Complete genome sequence of a strain from dominant lineage of Xanthomonas oryzae,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01 00:00:00
NZ_CP046486.1,"Xanthomonas oryzae pv. oryzae strain DXO-50 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2003,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252537,Assembly:GCF_001927725.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-01-01 00:00:00
NZ_CP059581.1,"Xanthomonas oryzae pv. oryzae strain IXO98 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252559,Assembly:GCF_001928035.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP046491.1,"Xanthomonas oryzae pv. oryzae strain IXO134 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252562,Assembly:GCF_001928095.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP059582.1,"Xanthomonas oryzae pv. oryzae strain IXO220 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252563,Assembly:GCF_001928165.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP059591.1,"Xanthomonas oryzae pv. oryzae strain IXO221 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252543,Assembly:GCF_001928175.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP065228.1,"Xanthomonas oryzae pv. oryzae strain BXO512 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,1996,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252503,Assembly:GCF_001928215.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-01-01 00:00:00
NZ_CP046484.1,"Xanthomonas oryzae pv. oryzae strain DXO-091 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252542,Assembly:GCF_001928355.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP046481.1,"Xanthomonas oryzae pv. oryzae strain DXO-206 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2009,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252530,Assembly:GCF_001928485.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01 00:00:00
NZ_CP046488.1,"Xanthomonas oryzae pv. oryzae strain IXO35 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2004,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252558,Assembly:GCF_001928585.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-01-01 00:00:00
NZ_CP059583.1,"Xanthomonas oryzae pv. oryzae strain IXO365 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252576,Assembly:GCF_001928695.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP059584.1,"Xanthomonas oryzae pv. oryzae strain IXO493 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2006,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252574,Assembly:GCF_001928825.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-01 00:00:00
NZ_CP046495.1,"Xanthomonas oryzae pv. oryzae strain IXO597 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252570,Assembly:GCF_001928835.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP061375.1,"Xanthomonas oryzae pv. oryzae strain IXO608 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2007,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252578,Assembly:GCF_001928905.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00
NZ_CP059585.1,"Xanthomonas oryzae pv. oryzae strain IXO630 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252567,Assembly:GCF_001928985.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP059586.1,"Xanthomonas oryzae pv. oryzae strain IXO639 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2006,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252553,Assembly:GCF_001928995.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-01 00:00:00
NZ_CP059587.1,"Xanthomonas oryzae pv. oryzae strain IXO644 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2005,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252565,Assembly:GCF_001929015.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01 00:00:00
NZ_CP059588.1,"Xanthomonas oryzae pv. oryzae strain IXO651 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2006,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252552,Assembly:GCF_001929065.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-01 00:00:00
NZ_CP059589.1,"Xanthomonas oryzae pv. oryzae strain IXO675 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2007,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252546,Assembly:GCF_001929075.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00
NZ_CP059590.1,"Xanthomonas oryzae pv. oryzae strain IXO685 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2006,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252549,Assembly:GCF_001929085.2,Complete genome investigation of Xanthomonas oryzae pv. oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-01 00:00:00
NZ_CP040604.1,"Xanthomonas oryzae pv. oryzae strain IXO704 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2007,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252585,Assembly:GCF_001929095.2,Complete genome sequence of Xanthomonas oryzae pv. oryzae strain IXO704,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00
NZ_CP047493.1,"Xanthomonas oryzae pv. oryzae strain IXO792 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2007,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252572,Assembly:GCF_001929155.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00
NZ_CP046479.1,"Xanthomonas oryzae pv. oryzae strain IXO842 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2007,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252583,Assembly:GCF_001929165.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-01 00:00:00
NZ_CP040687.1,"Xanthomonas oryzae pv. oryzae strain IXO1088 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2009,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252586,Assembly:GCF_001929235.2,Complete genome sequence of Xanthomonas oryzae pv. oryzae strain IXO1088,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01 00:00:00
NZ_CP047492.1,"Xanthomonas oryzae pv. oryzae strain IXO1104 chromosome, complete genome",Xanthomonas oryzae pv. oryzae,Xanthomonas oryzae pv. oryzae,,2009,India,taxon:64187,BioProject:PRJNA224116,BioSample:SAMN03252587,Assembly:GCF_001929245.2,Complete genome investigation of Xanthomonas oryzae strains,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01 00:00:00
NZ_CP016407.1,"Salmonella enterica subsp. enterica serovar Infantis strain FSIS1502169 plasmid pFSIS1502169, complete sequence",Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica subsp. enterica serovar Infantis,,2015,USA: NC,taxon:595,BioProject:PRJNA224116,BioSample:SAMN04285042,Assembly:GCF_001931555.1,Comparative Analysis of Multidrug Resistant CTX-M-65-Producing Salmonella Infantis Strains from Humans and Chickens in the United States,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01 00:00:00
NZ_CP016407.1,"Salmonella enterica subsp. enterica serovar Infantis strain FSIS1502169 plasmid pFSIS1502169, complete sequence",Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica subsp. enterica serovar Infantis,,2015,USA: NC,taxon:595,BioProject:PRJNA224116,BioSample:SAMN04285042,Assembly:GCF_001931555.1,Comparative Analysis of Multidrug Resistant CTX-M-65-Producing Salmonella Infantis Strains from Humans and Chickens in the United States,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01 00:00:00
NZ_CP015383.1,"Klebsiella pneumoniae strain CN1 plasmid pCN1_1, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,USA: New York,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04889855,Assembly:GCF_001952875.1,Emergence and Evolution of Multidrug-Resistant Klebsiella pneumoniae with Both blaKPC and blaCTX-M Integrated in Chromosome,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP015385.1,"Klebsiella pneumoniae strain NY9 chromosome, complete genome",Klebsiella pneumoniae,Klebsiella pneumoniae,,,USA: New York,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04889856,Assembly:GCF_001952895.1,Emergence and Evolution of Multidrug-Resistant Klebsiella pneumoniae with Both blaKPC and blaCTX-M Integrated in Chromosome,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP015386.1,"Klebsiella pneumoniae strain NY9 plasmid pNY9_1, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,USA: New York,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04889856,Assembly:GCF_001952895.1,Emergence and Evolution of Multidrug-Resistant Klebsiella pneumoniae with Both blaKPC and blaCTX-M Integrated in Chromosome,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP015387.1,"Klebsiella pneumoniae strain NY9 plasmid pNY9_2, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,USA: New York,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04889856,Assembly:GCF_001952895.1,Emergence and Evolution of Multidrug-Resistant Klebsiella pneumoniae with Both blaKPC and blaCTX-M Integrated in Chromosome,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP015394.1,"Klebsiella pneumoniae strain CR14 plasmid pCR14_2, complete sequence",Klebsiella pneumoniae,Klebsiella pneumoniae,,,USA: New York,taxon:573,BioProject:PRJNA224116,BioSample:SAMN04889857,Assembly:GCF_001952915.1,Emergence and Evolution of Multidrug-Resistant Klebsiella pneumoniae with Both blaKPC and blaCTX-M Integrated in Chromosome,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP019240.1,"Rhodoferax antarcticus strain DSMZ24876 chromosome, complete genome",Rhodoferax antarcticus,Rhodoferax antarcticus,environment,1991-01-01,,taxon:81479,BioProject:PRJNA224116,BioSample:SAMN06118137,Assembly:GCF_001955735.1,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-01-01 00:00:00
NZ_CP019240.1,"Rhodoferax antarcticus strain DSMZ24876 chromosome, complete genome",Rhodoferax antarcticus,Rhodoferax antarcticus,environment,1991-01-01,,taxon:81479,BioProject:PRJNA224116,BioSample:SAMN06118137,Assembly:GCF_001955735.1,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-01-01 00:00:00
NZ_CP019240.1,"Rhodoferax antarcticus strain DSMZ24876 chromosome, complete genome",Rhodoferax antarcticus,Rhodoferax antarcticus,environment,1991-01-01,,taxon:81479,BioProject:PRJNA224116,BioSample:SAMN06118137,Assembly:GCF_001955735.1,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-01-01 00:00:00
NZ_CP019240.1,"Rhodoferax antarcticus strain DSMZ24876 chromosome, complete genome",Rhodoferax antarcticus,Rhodoferax antarcticus,environment,1991-01-01,,taxon:81479,BioProject:PRJNA224116,BioSample:SAMN06118137,Assembly:GCF_001955735.1,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-01-01 00:00:00
NZ_CP019419.1,"Polaribacter reichenbachii strain 6Alg 8T chromosome, complete genome",Polaribacter reichenbachii,Polaribacter reichenbachii,,2012-09-28,Germany,taxon:996801,BioProject:PRJNA224116,BioSample:SAMN06240835,Assembly:GCF_001975665.1,Polaribacter reichenbachii sp. nov.: a new marine bacterium associated with the green alga Ulva fenestrata,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-28 00:00:00
NZ_CP017850.1,"Klebsiella variicola strain GJ2 plasmid pKPGJ-2a, complete sequence",Klebsiella variicola,Klebsiella variicola,riverwater,,,taxon:244366,BioProject:PRJNA224116,BioSample:SAMN05361854,Assembly:GCF_001989515.1,"Emergence of NDM-9, a variant of New Delhi Metallo-Beta-lactam-Positive Klebsiella variicola in an Urban River in South Korea",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP017285.1,"Klebsiella variicola strain GJ3 plasmid pKPGJ-3a, complete sequence",Klebsiella variicola,Klebsiella variicola,riverwater,,,taxon:244366,BioProject:PRJNA224116,BioSample:SAMN05361855,Assembly:GCF_001989535.1,"Emergence of Klebsiella variicola positive for NDM-9, a variant of New Delhi metallo-beta-lactamase, in an urban river in South Korea",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP065150.1,"Vibrio kanaloae strain R17 chromosome 1, complete sequence",Vibrio kanaloae,Vibrio kanaloae,,2010-12,Chile: Valparaiso,taxon:170673,BioProject:PRJNA224116,BioSample:SAMN06115650,Assembly:GCF_001995825.2,Vibrio kanaloae R17 whole genome sequence,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-01 00:00:00
NZ_CP043421.1,"Vibrio parahaemolyticus strain MVP1 chromosome 1, complete sequence",Vibrio parahaemolyticus,Vibrio parahaemolyticus,,2016,Malaysia:Negeri Sembilan,taxon:670,BioProject:PRJNA224116,BioSample:SAMN06061934,Assembly:GCF_001996365.2,Complete genome of Vibrio parahaemolyticus MVP1,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-01 00:00:00
NZ_CP016090.1,"Clostridium beijerinckii strain BAS/B3/I/124 chromosome, complete genome",Clostridium beijerinckii,Clostridium beijerinckii,,,,taxon:1520,BioProject:PRJNA224116,BioSample:SAMN05170526,Assembly:GCF_002003345.1,Microbial solvent formation,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP016090.1,"Clostridium beijerinckii strain BAS/B3/I/124 chromosome, complete genome",Clostridium beijerinckii,Clostridium beijerinckii,,,,taxon:1520,BioProject:PRJNA224116,BioSample:SAMN05170526,Assembly:GCF_002003345.1,Microbial solvent formation,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ_CP014692.1,"Acetobacter aceti strain TMW2.1153 chromosome, complete genome",Acetobacter aceti,Acetobacter aceti,water kefir,,Germany: Freising,taxon:435,BioProject:PRJNA224116,BioSample:SAMN04396917,Assembly:GCF_002005445.1,Acetic acid bacteria sequencing,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
